x,y,label
69,56,0
49,-19,1
-89,62,1
57,-64,1
-51,-26,1
-74,37,1
44,-36,1
89,41,0
-15,36,1
-43,-3,1
-85,-35,1
-39,-11,1
65,50,0
-70,-32,1
-37,76,1
56,12,1
-53,50,1
-57,70,1
7,-92,1
-71,25,1
12,55,1
-74,-61,1
-38,-68,1
-13,57,1
85,-30,1
-46,-47,1
-43,-45,1
17,64,1
-19,13,1
11,23,1
22,48,1
-12,41,1
16,-91,1
74,22,1
54,88,0
-40,-25,1
-3,33,1
60,-15,1
-19,-63,1
-61,99,1
63,80,0
-35,54,1
-11,-12,1
64,-26,1
18,92,0
82,76,0
-47,-44,1
40,-95,1
-76,29,1
-70,29,1
-7,81,1
55,74,0
18,49,1
58,1,1
1,-18,1
26,-15,1
-31,-49,1
96,-7,1
-36,7,1
-71,-26,1
54,-20,1
-30,-43,1
-94,-46,1
-90,-53,1
-10,-18,1
94,-98,1
83,-11,1
67,92,0
-22,-13,1
39,69,0
86,-72,1
-46,11,1
-95,68,1
55,2,1
-26,-37,1
-65,-89,1
-88,78,1
-14,15,1
-5,-27,1
9,-3,1
-56,34,1
-29,-52,1
-16,26,1
-23,93,1
32,-12,1
25,64,1
-24,65,1
42,46,1
79,-79,1
-49,-62,1
-40,-20,1
90,-31,1
74,24,1
-79,19,1
-25,-5,1
97,-51,1
-28,-68,1
-76,-53,1
-25,25,1
-15,0,1
25,95,0
-99,-8,1
6,-39,1
-17,51,1
93,-52,1
21,37,1
-96,73,1
-45,-81,1
-99,-67,1
61,0,1
73,-45,1
61,-97,1
-59,60,1
76,-51,1
-9,47,1
21,8,1
-19,-50,1
-51,13,1
-76,-98,0
-89,-70,1
-15,-22,1
-11,27,1
-4,-75,1
85,-25,1
82,33,0
94,-69,1
68,-15,1
-54,-6,1
-91,60,1
97,-10,1
-11,0,1
-20,-57,1
-33,36,1
20,47,1
-95,2,1
66,5,1
95,-87,1
-37,-90,1
66,20,1
-76,-60,1
-29,-26,1
39,-61,1
-79,80,1
-84,-16,1
32,33,1
80,8,1
-62,-36,1
-26,85,1
8,-45,1
76,75,0
78,-94,1
-61,8,1
73,-85,1
-45,-94,1
6,36,1
91,-34,1
-31,-34,1
75,-36,1
62,99,0
77,-56,1
-51,1,1
-8,84,1
-65,-80,1
-94,-77,1
-23,65,1
-12,28,1
34,-33,1
30,-85,1
-71,17,1
-60,53,1
63,-11,1
-87,-2,1
-8,-24,1
-28,-50,1
14,-1,1
24,100,0
-31,-62,1
8,91,1
-50,-6,1
57,-17,1
-61,-56,1
87,-45,1
61,11,1
82,93,0
18,58,1
-59,-21,1
-97,43,1
-51,37,1
-37,-54,1
41,81,0
85,6,1
56,-43,1
-70,80,1
29,56,1
90,95,0
-2,-14,1
65,17,1
-32,-3,1
-49,-20,1
-74,73,1
60,29,1
57,-62,1
-42,64,1
-36,88,1
26,92,0
79,-57,1
-2,8,1
-86,10,1
62,-11,1
79,-64,1
97,73,0
-75,70,1
2,11,1
67,26,1
-63,-41,1
11,59,1
-93,-50,1
-95,-2,1
-60,47,1
88,-79,1
-46,-1,1
30,-58,1
-25,83,1
-21,-88,1
-78,-95,1
91,-89,1
-37,81,1
-97,-43,1
18,-35,1
73,94,0
1,85,1
-74,53,1
-56,-47,1
18,-93,1
45,87,0
36,-75,1
89,20,0
49,42,1
-22,66,1
5,34,1
-65,53,1
-36,85,1
-19,37,1
-60,-24,1
-3,82,1
-82,-41,1
-92,33,1
32,-93,1
22,95,0
46,-91,1
-90,14,1
100,-33,1
80,52,0
73,-45,1
-11,41,1
-100,90,1
9,23,1
14,98,0
-88,99,1
-27,29,1
4,-78,1
9,2,1
29,-3,1
65,11,1
39,-16,1
-82,36,1
77,-19,1
8,-52,1
-51,23,1
-2,62,1
53,68,0
58,-53,1
-56,-74,1
98,-39,1
-15,47,1
76,12,1
-86,47,1
26,26,1
61,38,1
55,85,0
56,-68,1
18,-53,1
-1,-86,1
-39,-39,1
-43,-33,1
-32,-27,1
-38,38,1
-83,-99,1
-69,11,1
-80,2,1
14,73,1
-8,-9,1
6,-1,1
-32,58,1
-41,-81,1
30,23,1
48,-80,1
93,53,0
-51,-89,1
-74,-44,1
-9,-6,1
66,32,1
99,-33,1
85,-60,1
36,57,1
32,10,1
-46,70,1
78,21,1
8,-62,1
-31,23,1
-38,-66,1
10,45,1
-3,86,1
7,-21,0
91,-92,1
-90,-4,1
-38,48,1
-90,49,1
-80,14,1
93,68,0
-28,32,1
-3,-84,1
-28,-61,1
-28,-81,1
-77,8,1
-39,18,1
17,-4,1
8,77,1
22,28,1
10,-89,1
25,97,0
-99,18,1
-82,-27,1
69,-22,1
5,-60,1
100,20,0
65,-79,1
50,72,0
-55,-1,1
82,94,0
-92,-38,1
92,67,0
-90,-74,1
-87,67,1
48,39,1
51,98,0
-80,-8,1
-29,-3,1
-33,-33,1
-34,33,1
-62,92,1
42,45,1
98,29,0
-66,41,1
91,-3,1
-15,-90,1
-87,-81,1
13,69,1
-3,21,1
-23,-88,1
-89,-53,1
17,8,1
-87,77,1
60,9,1
-87,-80,1
7,-62,1
-41,16,1
-75,65,1
-47,43,1
21,17,1
13,38,1
67,-74,1
-4,-21,1
-90,31,1
30,-9,1
-11,-76,1
6,83,1
9,69,1
81,80,0
-79,93,1
-86,-30,1
3,24,1
50,19,1
-39,-92,1
-60,-24,1
8,-62,1
87,-91,1
51,63,0
-14,-35,1
1,93,1
-9,-2,1
48,-87,1
-35,61,1
-60,50,0
100,29,0
-58,15,1
41,-73,1
8,48,1
-18,-60,1
51,-74,1
-94,73,1
-92,30,1
55,-77,1
-26,32,1
21,32,1
-17,34,1
21,60,1
32,-2,1
85,92,0
-19,23,1
71,-50,1
-74,38,1
56,-86,1
63,71,0
8,70,1
-94,77,1
43,-19,1
11,47,1
-40,-44,1
70,-84,1
47,-4,1
-57,-22,1
-44,-52,1
57,48,0
-18,99,1
-76,-24,1
26,-71,1
-47,-20,1
-94,89,1
-62,58,1
-89,98,1
-69,-15,1
74,-93,1
-69,-61,1
99,4,0
67,-1,1
-29,-71,1
23,-24,1
-45,58,1
32,42,1
-6,-34,1
-16,-1,1
4,32,1
5,87,1
28,-39,1
-5,-77,1
97,-14,1
-74,92,1
-59,26,1
38,29,1
-97,-63,1
17,-63,1
-6,86,1
-61,-15,1
-61,-31,1
10,61,1
12,3,1
-67,-74,1
14,-29,1
59,-2,1
-36,17,1
46,-86,1
39,87,0
-48,-46,1
65,68,0
-32,-3,1
46,-31,1
-64,0,1
-10,75,1
64,-70,1
-78,-17,1
35,2,1
60,-80,1
67,-56,1
-41,45,1
-44,-87,1
-8,-82,1
-73,32,1
-15,-25,1
38,49,1
-94,-26,1
-82,-13,1
74,-77,1
-30,47,1
62,-15,1
-42,-42,1
-51,-57,1
-25,-85,1
-96,40,1
97,62,0
50,23,1
-65,66,1
73,15,1
72,-15,1
-6,-66,1
24,-70,1
-91,-80,1
21,-84,1
64,20,1
-29,-44,1
-51,-56,1
72,-23,1
-70,40,1
64,79,0
7,12,1
84,-51,1
-15,91,1
-65,-13,1
6,37,1
-3,-4,1
45,-46,1
62,75,0
-68,15,1
-100,-88,1
7,58,1
3,14,1
12,31,1
83,-13,1
80,94,0
23,83,0
-88,-41,1
100,32,0
11,-49,1
-30,81,1
-99,91,1
-5,-70,1
79,-27,1
46,-100,1
71,-47,1
-83,-52,1
22,-95,1
63,-57,1
66,22,1
15,95,0
52,24,1
89,50,0
-23,-64,1
-83,-49,1
-44,-12,1
74,-8,1
64,47,0
-72,71,1
-95,49,1
-100,57,1
-31,-37,1
-15,0,1
85,9,1
-82,88,1
-15,97,1
-7,-79,1
82,-4,1
24,83,0
-62,9,1
37,95,0
-58,-20,1
-90,83,1
-11,23,1
38,32,1
52,-42,1
6,96,0
-88,99,1
77,15,1
-8,-8,1
-29,51,1
-28,-25,1
-28,95,1
21,-45,1
39,28,1
12,58,1
-56,74,1
72,71,0
-42,-100,1
-25,57,1
55,-91,1
66,-65,1
69,18,1
18,12,1
-93,-5,1
49,75,0
34,80,0
-15,3,1
-91,-66,1
-16,36,1
88,77,0
40,-6,1
-99,86,1
-12,-94,1
-39,-44,1
48,83,0
-82,-30,1
-32,38,1
-60,-9,1
6,-96,1
-93,92,1
-21,-6,1
-67,98,1
35,87,0
-98,16,1
82,-39,1
76,84,0
-30,100,1
-37,20,1
